Transaction Date,Post Date,Description,Category,Type,Amount,Memo
09/24/2026,09/25/2026,SAFEWAY #1612,Groceries,Sale,-82.09,
09/22/2026,09/23/2026,AMAZON MKTPL*2K4L19,Shopping,Sale,-27.63,
09/20/2026,09/21/2026,HULU 877-8244858 CA,Entertainment,Sale,-9.99,
09/17/2026,09/18/2026,PF CLUB FEES 800-555-1212 NH,Health & Wellness,Sale,-24.99,
09/16/2026,09/17/2026,CHIPOTLE 2231,Food & Drink,Sale,-13.40,
09/14/2026,09/15/2026,APPLE.COM/BILL 866-712-7753 CA,Shopping,Sale,-2.99,
09/12/2026,09/13/2026,TARGET 00012345 SEATTLE WA,Shopping,Sale,-38.77,
09/11/2026,09/12/2026,NYTIMES*DIGITAL 800-698-4637 NY,Entertainment,Sale,-6.25,
09/09/2026,09/10/2026,STARBUCKS STORE 1123,Food & Drink,Sale,-6.45,
09/08/2026,09/09/2026,SPOTIFY USA 877-778-1161 NY,Entertainment,Sale,-11.99,
09/05/2026,09/06/2026,SHELL OIL 5744 SEATTLE WA,Gas,Sale,-41.02,
09/03/2026,09/04/2026,NETFLIX.COM 866-579-7172 CA,Entertainment,Sale,-17.99,
09/02/2026,09/03/2026,TRADER JOE'S #552 SEATTLE WA,Groceries,Sale,-64.18,
08/24/2026,08/25/2026,SAFEWAY #1612,Groceries,Sale,-80.72,
08/22/2026,08/23/2026,AMAZON MKTPL*2K4L19,Shopping,Sale,-26.26,
08/20/2026,08/21/2026,HULU 877-8244858 CA,Entertainment,Sale,-9.99,
08/17/2026,08/18/2026,PF CLUB FEES 800-555-1212 NH,Health & Wellness,Sale,-24.99,
08/16/2026,08/17/2026,CHIPOTLE 2231,Food & Drink,Sale,-12.03,
08/14/2026,08/15/2026,APPLE.COM/BILL 866-712-7753 CA,Shopping,Sale,-2.99,
08/12/2026,08/13/2026,TARGET 00012345 SEATTLE WA,Shopping,Sale,-37.40,
08/11/2026,08/12/2026,NYTIMES*DIGITAL 800-698-4637 NY,Entertainment,Sale,-6.25,
08/09/2026,08/10/2026,STARBUCKS STORE 1123,Food & Drink,Sale,-5.08,
08/08/2026,08/09/2026,SPOTIFY USA 877-778-1161 NY,Entertainment,Sale,-11.99,
08/05/2026,08/06/2026,SHELL OIL 5744 SEATTLE WA,Gas,Sale,-39.65,
08/03/2026,08/04/2026,NETFLIX.COM 866-579-7172 CA,Entertainment,Sale,-17.99,
08/02/2026,08/03/2026,TRADER JOE'S #552 SEATTLE WA,Groceries,Sale,-62.81,
07/24/2026,07/25/2026,SAFEWAY #1612,Groceries,Sale,-79.35,
07/22/2026,07/23/2026,AMAZON MKTPL*2K4L19,Shopping,Sale,-24.89,
07/20/2026,07/21/2026,HULU 877-8244858 CA,Entertainment,Sale,-9.99,
07/17/2026,07/18/2026,PF CLUB FEES 800-555-1212 NH,Health & Wellness,Sale,-24.99,
07/16/2026,07/17/2026,CHIPOTLE 2231,Food & Drink,Sale,-10.66,
07/14/2026,07/15/2026,APPLE.COM/BILL 866-712-7753 CA,Shopping,Sale,-2.99,
07/12/2026,07/13/2026,TARGET 00012345 SEATTLE WA,Shopping,Sale,-36.03,
07/11/2026,07/12/2026,NYTIMES*DIGITAL 800-698-4637 NY,Entertainment,Sale,-6.25,
07/09/2026,07/10/2026,STARBUCKS STORE 1123,Food & Drink,Sale,-3.71,
07/08/2026,07/09/2026,SPOTIFY USA 877-778-1161 NY,Entertainment,Sale,-11.99,
07/05/2026,07/06/2026,SHELL OIL 5744 SEATTLE WA,Gas,Sale,-38.28,
07/03/2026,07/04/2026,NETFLIX.COM 866-579-7172 CA,Entertainment,Sale,-17.99,
07/02/2026,07/03/2026,TRADER JOE'S #552 SEATTLE WA,Groceries,Sale,-61.44,
06/20/2026,06/21/2026,HULU 877-8244858 CA,Entertainment,Sale,-9.99,
06/17/2026,06/18/2026,PF CLUB FEES 800-555-1212 NH,Health & Wellness,Sale,-24.99,
06/14/2026,06/15/2026,APPLE.COM/BILL 866-712-7753 CA,Shopping,Sale,-2.99,
06/11/2026,06/12/2026,NYTIMES*DIGITAL 800-698-4637 NY,Entertainment,Sale,-6.25,
06/08/2026,06/09/2026,SPOTIFY USA 877-778-1161 NY,Entertainment,Sale,-11.99,
06/03/2026,06/04/2026,NETFLIX.COM 866-579-7172 CA,Entertainment,Sale,-17.99,
